ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0031012	extracellular matrix	36/349	496/19944	0.0725806451612903	4.14770311489047	9.47397977693229	5.5763591536336e-13	1.09785724845492e-10	8.44146160678912e-11	ESM1/NDNF/LGALS9/VEGFA/F3/FGF1/SPOCK1/FCGBP/SERPINF1/OLFML2A/SPOCK2/HTRA1/CHI3L1/ITIH5/CCN2/SULF1/COL4A5/LOX/C1QB/SBSPON/CPA3/COL4A4/MMP7/LUM/COL1A2/ECM1/C1QA/DCN/POSTN/FGA/COL6A3/CXCL12/THBS2/SPARC/BGN/FCN3	36
GO:0030312	external encapsulating structure	36/349	497/19944	0.0724346076458753	4.13935763578606	9.45862493942621	5.91836791619902e-13	1.09785724845492e-10	8.44146160678912e-11	ESM1/NDNF/LGALS9/VEGFA/F3/FGF1/SPOCK1/FCGBP/SERPINF1/OLFML2A/SPOCK2/HTRA1/CHI3L1/ITIH5/CCN2/SULF1/COL4A5/LOX/C1QB/SBSPON/CPA3/COL4A4/MMP7/LUM/COL1A2/ECM1/C1QA/DCN/POSTN/FGA/COL6A3/CXCL12/THBS2/SPARC/BGN/FCN3	36
GO:0072562	blood microparticle	15/349	145/19944	0.103448275862069	5.9116688074301	7.9218528721394	3.98617783316834e-08	4.92957325368484e-06	3.790365588732e-06	CFB/IGLV3-25/IGLC2/IGLC3/JCHAIN/IGLC1/IGKV1-5/CLU/IGKV2D-28/C3/C1QB/IGKV1-39/FGA/APOL1/FCN3	15
GO:0019814	immunoglobulin complex	15/349	172/19944	0.0872093023255814	4.98367428533351	7.00257983800885	3.80671799288215e-07	3.5307309383982e-05	2.71479098966069e-05	IGLV1-44/IGLV3-25/IGLC2/IGLC3/IGKV1D-13/JCHAIN/IGLC1/IGLC7/IGKV1-5/IGLV4-3/IGKV2D-28/IGKV2-28/IGKV2-24/IGKV1D-39/IGKV1-39	15
GO:0005925	focal adhesion	22/349	423/19944	0.0520094562647754	2.97213924282144	5.47131919597798	6.06837897175857e-06	0.000450273719704486	0.000346216989757173	PTPRC/IL1RL1/NPHS1/NFASC/CORO2B/ITGB5/EPB41L5/NECTIN2/TNS2/ZNF185/MME/FERMT1/EHD3/ITGA3/GJA1/FZD2/MARCKS/PARVA/EFNB2/LIMS2/CSRP1/ITGA8	22
GO:0030055	cell-substrate junction	22/349	433/19944	0.0508083140877598	2.90349861365697	5.3443153043419	8.77140241067046e-06	0.00054236504905979	0.000417026325138894	PTPRC/IL1RL1/NPHS1/NFASC/CORO2B/ITGB5/EPB41L5/NECTIN2/TNS2/ZNF185/MME/FERMT1/EHD3/ITGA3/GJA1/FZD2/MARCKS/PARVA/EFNB2/LIMS2/CSRP1/ITGA8	22
GO:0071745	IgA immunoglobulin complex	4/349	10/19944	0.4	22.858452722063	9.22693611892969	1.78090724980638e-05	0.000738783468922051	0.000568053114137823	IGLC3/JCHAIN/IGLC1/IGLC7	4
GO:0071753	IgM immunoglobulin complex	4/349	10/19944	0.4	22.858452722063	9.22693611892969	1.78090724980638e-05	0.000738783468922051	0.000568053114137823	IGLC3/JCHAIN/IGLC1/IGLC7	4
GO:0005581	collagen trimer	9/349	86/19944	0.104651162790698	5.98040914240021	6.17705997863695	1.95205969925282e-05	0.000738783468922051	0.000568053114137823	COL4A5/LOX/C1QB/COL4A4/LUM/COL1A2/C1QA/COL6A3/FCN3	9
GO:0106139	symbiont cell surface	5/349	20/19944	0.25	14.2865329512894	7.93366255303808	1.99133010491119e-05	0.000738783468922051	0.000568053114137823	CFB/C3/C1QB/C1QA/FCN3	5
GO:0031091	platelet alpha granule	9/349	91/19944	0.0989010989010989	5.65181523347713	5.9356106531379	3.08185510193699e-05	0.000981401760055773	0.000754603140800438	VEGFA/F5/CLU/SNCA/CFD/IGF1/FGA/THBS2/SPARC	9
GO:0031252	cell leading edge	21/349	438/19944	0.0479452054794521	2.73988303175413	4.91369643091539	3.30840415042944e-05	0.000981401760055773	0.000754603140800438	PTPRO/DDN/PODXL/PLCE1/SRGAP2/SLK/RIPOR1/AIF1/EPB41L5/DPYSL3/CAPG/CARMIL1/APBB2/FERMT1/IQGAP2/ABLIM1/MYO1D/JCAD/NME1/ITGA8/PSD3	21
GO:0044217	other organism part	6/349	36/19944	0.166666666666667	9.5243553008596	6.83178674990072	3.43887409183964e-05	0.000981401760055773	0.000754603140800438	CFB/C3/C1QB/C1QA/C7/FCN3	6
GO:0071735	IgG immunoglobulin complex	4/349	13/19944	0.307692307692308	17.5834251708177	7.98209130457466	5.81618813957152e-05	0.00154128985698645	0.00118510299686006	IGLC2/IGLC3/IGLC1/IGLC7	4
GO:0043025	neuronal cell body	21/349	486/19944	0.0432098765432099	2.46927730022286	4.37631050581659	0.000144188436143132	0.00352878237217771	0.00271329273048704	SST/GRIK2/PALS1/DDN/SERPINF1/SYNPO/ZNF804A/GHR/LPAR1/MAP1B/MME/SNCA/PYCARD/APOD/PRKAR2B/CPNE6/MYO1D/CD200/CRHBP/NDN/ITGA8	21
GO:0043209	myelin sheath	6/349	47/19944	0.127659574468085	7.29525086874352	5.76638313561628	0.000161258789014227	0.00352878237217771	0.00271329273048704	CLDN5/TSPAN2/PALS1/SERINC5/JAM3/MYO1D	6
