ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0005539	glycosaminoglycan binding	23/339	240/18662	0.0958333333333333	5.27563913470993	9.06791185926649	8.89973386627727e-11	4.97495123124899e-08	4.20629526942999e-08	PTPRC/PCOLCE2/NDNF/VEGFA/TLR2/FGF1/JCHAIN/BMP7/TGFBR3/NELL1/SPOCK2/NELL2/LTF/LPL/CCN2/DPYSL3/SULF1/DCN/PTN/POSTN/THBS2/HABP2/BGN	23
GO:0005201	extracellular matrix structural constituent	17/339	175/18662	0.0971428571428571	5.34772861356932	7.8599040778517	2.17344710851968e-08	6.07478466831251e-06	5.13619869329125e-06	ESM1/SPOCK1/FCGBP/CHI3L1/COL4A5/SBSPON/COL4A4/LUM/COL1A2/ECM1/DCN/POSTN/FGA/COL6A3/THBS2/SPARC/BGN	17
GO:0004857	enzyme inhibitor activity	26/339	451/18662	0.057649667405765	3.17362269358816	6.35586330282114	2.39442769067217e-07	4.46161693028581e-05	3.77227380039229e-05	PTPRC/MYOZ1/PLA2R1/SPOCK1/FRY/SERPINF1/MGAT5/SPOCK2/CDKN1C/ITIH5/LTF/ARRB1/CRIM1/C3/SNCA/IQGAP2/ANXA3/PRKAR2B/WFDC2/TRIB2/IGFBP2/PARVA/RGS2/PTN/APOC1/COL6A3	26
GO:0008201	heparin binding	15/339	170/18662	0.0882352941176471	4.85736595523165	6.87214597745108	5.18680144037749e-07	7.24855501292755e-05	6.12861538613025e-05	PTPRC/PCOLCE2/NDNF/VEGFA/FGF1/BMP7/TGFBR3/NELL1/NELL2/LTF/LPL/CCN2/PTN/POSTN/THBS2	15
GO:0005178	integrin binding	13/339	152/18662	0.0855263157894737	4.70823629871138	6.24388650200324	4.22962088796543e-06	0.000472871615274535	0.000399810479725574	ESM1/FGF1/ITGB5/CCN2/LGALS8/JAM3/FERMT1/ITGA3/KDR/CXADR/PTN/IGF1/CXCL12	13
GO:0003779	actin binding	23/339	445/18662	0.051685393258427	2.84528852209075	5.35889035692047	7.46804130872484e-06	0.000637206328612897	0.000538754621122664	MYOZ1/MYO1F/PDLIM2/TNNT2/CORO2B/NEBL/INF2/VASH1/SYNPO/AIF1/MAP1B/CAPG/SNCA/FERMT1/IQGAP2/MYO1B/ABLIM1/MYO1D/MARCKS/PARVA/TMOD1/SYNE3/TMSB15A	23
GO:1901681	sulfur compound binding	17/339	266/18662	0.0639097744360902	3.51824250892718	5.62659535474877	7.97932790749602e-06	0.000637206328612897	0.000538754621122664	PTPRC/PCOLCE2/NDNF/VEGFA/FGF1/BMP7/TGFBR3/NELL1/NELL2/LTF/LPL/CCN2/DPYSL3/PTN/POSTN/THBS2/NME1	17
GO:0008236	serine-type peptidase activity	14/339	196/18662	0.0714285714285714	3.93215339233038	5.61302945194801	1.4648323847773e-05	0.00102355162886314	0.000865407553638169	CFB/PRSS53/F3/DPP6/KLK7/HTRA1/LTF/KLK6/CPVL/MMP7/CFD/PLAT/GZMA/HABP2	14
GO:0017171	serine hydrolase activity	14/339	202/18662	0.0693069306930693	3.81535675691463	5.4722040956203	2.05578767084644e-05	0.00127367328612869	0.00107688410784631	CFB/PRSS53/F3/DPP6/KLK7/HTRA1/LTF/KLK6/CPVL/MMP7/CFD/PLAT/GZMA/HABP2	14
GO:0003823	antigen binding	13/339	178/18662	0.0730337078651685	4.02051638991084	5.50759798799758	2.33737367394217e-05	0.00127367328612869	0.00107688410784631	IGLV1-44/IGLV3-25/IGLC2/IGLC3/JCHAIN/IGLC1/IGLC7/IGKV1-5/IGKV2D-28/C3/IGKV1D-39/IGKV1-39/FCN3	13
