category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Organismal Systems	Immune system	hsa04610	Complement and coagulation cascades	14/187	88/9377	0.159090909090909	7.97751579970831	9.38057651245376	1.71166504694931e-09	4.10799611267834e-07	3.69359299604851e-07	629/2152/1378/2153/1191/2149/11326/718/713/1675/712/5327/2243/730	14
Cellular Processes	Cell motility	hsa04820	Cytoskeleton in muscle cells	20/187	233/9377	0.0858369098712446	4.3042390580891	7.28539593771429	3.52987194660744e-08	4.23584633592893e-06	3.80854604765539e-06	58529/26287/64236/7139/10529/64423/3693/1287/3675/1286/10398/1278/1634/7111/1293/161176/7058/1465/633/8516	20
Environmental Information Processing	Signaling molecules and interaction	hsa04518	Integrin signaling	16/187	154/9377	0.103896103896104	5.20980623654421	7.51377541860728	6.35047864131375e-08	5.080382913051e-06	4.56788814550638e-06	7422/3693/718/1287/55612/3675/3791/1286/1278/55742/3479/2243/1293/55679/7058/8516	16
Cellular Processes	Cellular community - eukaryotes	hsa04510	Focal adhesion	15/187	203/9377	0.0738916256157636	3.70525012512842	5.55837602812908	1.24591109817171e-05	0.000747546658903025	0.000672136250329474	7422/91807/10451/3693/1287/3675/3791/1286/10398/1278/55742/3479/1293/7058/8516	15
Environmental Information Processing	Signaling molecules and interaction	hsa04517	IgSF CAM signaling	18/187	299/9377	0.0602006688963211	3.01872552000429	5.06045567427662	2.7958266627384e-05	0.00134199679811443	0.0012066199281292	5603/4868/7827/9863/23114/23380/91807/10451/5819/7082/6091/83700/3791/10398/55243/1525/2243/914	18
Environmental Information Processing	Signal transduction	hsa04151	PI3K-Akt signaling pathway	19/187	362/9377	0.0524861878453039	2.63188761190061	4.51682757583261	0.000107361257067572	0.0042944502827029	0.00386123819278112	7422/7097/2246/9863/2690/3693/1902/2149/1287/9470/6446/3675/3791/1286/1278/3479/1293/7058/8516	19
Human Diseases	Cancer: overview	hsa05205	Proteoglycans in cancer	13/187	204/9377	0.0637254901960784	3.19547551640977	4.52230482117666	0.000215704490720019	0.00739558253897209	0.00664953693197052	5603/7422/7097/51196/10451/3693/23365/3791/4060/1278/2535/1634/3479	13
Environmental Information Processing	Signaling molecules and interaction	hsa04512	ECM-receptor interaction	8/187	89/9377	0.0898876404494382	4.50736045184162	4.74226858856053	0.000383184531461448	0.0114955359438434	0.0103358985459996	3693/1287/3675/1286/1278/1293/7058/8516	8
Cellular Processes	Cell motility	hsa04810	Regulation of actin cytoskeleton	13/187	232/9377	0.0560344827586207	2.80981467822239	3.98160424372136	0.000741283303697577	0.0197675547652687	0.0177734593284214	2246/91807/10451/3693/1902/2149/23365/3675/10788/10398/730/6387/8516	13
Organismal Systems	Immune system	hsa04611	Platelet activation	9/187	126/9377	0.0714285714285714	3.58174178762414	4.16174611912594	0.000912237672393784	0.0218937041374508	0.0196851287200764	5603/695/91807/6915/2149/23365/2982/1278/2243	9
Organismal Systems	Development and regeneration	hsa04360	Axon guidance	11/187	184/9377	0.0597826086956522	2.9977621483376	3.9038750476339	0.00111970172608795	0.0244298558419189	0.0219654405596201	56920/655/23380/22854/6091/23365/10398/3983/9037/1948/6387	11
Environmental Information Processing	Signaling molecules and interaction	hsa04514	Cell adhesion molecule (CAM) interaction	10/187	160/9377	0.0625	3.13402406417112	3.88361667287167	0.00134146589151965	0.0268293178303929	0.0241228515580287	5788/7122/23114/5819/22854/83700/1525/79679/914/8516	10
Human Diseases	Infectious disease: bacterial	hsa05130	Pathogenic Escherichia coli infection	11/187	200/9377	0.055	2.75794117647059	3.58460096759113	0.00218175635477231	0.040278578857335	0.0362153888848845	5603/4542/7122/1902/2149/7082/7100/29108/23365/4430/4642	11
