sample_id	PC1	PC2	group
GSM318464	-12.8164772009972	6.85072435985681	Control
GSM318465	-18.6178048400517	-4.44411324933033	Control
GSM318466	-23.0772507335883	-19.824399658996	Control
GSM318467	-43.4393877630369	-23.7965271935445	Control
GSM318468	-30.9013360480188	-23.8836787306394	Control
GSM318469	-11.7746423420825	-14.2626788771503	Control
GSM318470	-49.9240262467371	83.0442902088456	Control
GSM318471	10.3202970743606	-4.35047942482315	Control
GSM318472	-15.0780607834201	-17.8392843751066	Control
GSM318473	-37.2440502388782	42.348968877694	Control
GSM318474	-14.8949964479354	-15.7766474538045	Control
GSM318475	-31.7056037413729	-22.7231573890854	Control
GSM318476	-25.3120487529084	-22.8227002979798	Control
GSM318477	-27.4494175910191	-22.0322850718413	Control
GSM318478	-21.0321487024494	-12.8409529727152	Control
GSM318479	-3.50194599689964	-13.8467636226502	Control
GSM318480	25.9431082669523	2.86339765442753	Control
GSM318481	1.20334209043466	14.1592910822049	Control
GSM318482	-3.80096385873261	-3.37547497696995	Control
GSM318483	1.57975286028918	27.0658660453925	Control
GSM318484	20.1993080677778	-1.26848016581871	Control
GSM318485	3.07892484077567	-2.27279785955031	Control
GSM318486	23.0653595810431	-2.45410624628901	Control
GSM318487	25.919429637742	6.6647578130963	Control
GSM318488	26.6380522046878	5.29124528957772	Control
GSM318489	8.87147069896092	6.53718150495334	Control
GSM318490	12.3289311692025	-4.55871195456018	Control
GSM318491	18.6780430563849	-3.31179101048348	Control
GSM318492	0.36872263101219	-3.74456023064974	Control
GSM318493	3.46133646893417	-4.58129144736227	CKD
GSM318494	10.2747755532817	7.22557769509502	CKD
GSM318495	19.4419632621311	-5.66684570266125	CKD
GSM318496	11.518857649643	4.04460486747029	CKD
GSM318497	11.8786826217187	-7.39941961326265	CKD
GSM318498	21.5769037609824	2.52548998946372	CKD
GSM318499	6.99764970675359	0.764492602341764	CKD
GSM318500	-24.0183381991798	5.61635822753918	CKD
GSM318501	22.9657694582812	0.752290898271654	CKD
GSM318502	30.3865049397649	3.21222033597564	CKD
GSM318503	0.650750547964766	2.17857014048847	CKD
GSM318504	21.3621674006959	-0.566036271697267	CKD
GSM318505	27.6204817440935	3.11722628040672	CKD
GSM318506	15.0461901673239	7.34537897997147	CKD
GSM318507	14.4675326348275	5.97633113035586	CKD
GSM318508	-32.5048432753221	-7.30847174575631	CKD
GSM318509	21.6295233917246	6.43869692946464	CKD
GSM318510	-24.6954403165329	30.2154465829081	CKD
GSM318511	-35.0984277651864	-14.2886021565364	CKD
GSM318512	18.4594520617477	-1.65971078567281	CKD
GSM318513	20.596088729486	-0.942301766511434	CKD
GSM318514	26.5287532218926	0.448861725197006	CKD
GSM318515	3.82908534347895	7.15500103045027	CKD
