gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	sig
ARF5	1.32875591015068	3.67403037114476	8.06966918747484	1.14035282077545e-10	7.7720746499951e-07	14.0864319214419	TRUE
PTPRC	2.96121924433573	4.50282098707388	7.87153601963614	2.32666994719559e-10	1.05716126834077e-06	13.4136972286024	TRUE
ESM1	-1.89733854216932	4.33567651503032	-7.36551932280698	1.45132413413657e-09	3.9565998544831e-06	11.6839685403182	TRUE
IGLJ2	4.08508717106582	6.25423780684304	7.19744289447411	2.67158010258464e-09	4.55203854729141e-06	11.106677271604	TRUE
BMS1P20	4.08508717106582	6.25423780684304	7.19744289447411	2.67158010258464e-09	4.55203854729141e-06	11.106677271604	TRUE
MYOZ1	-2.38652892660197	4.46529324654775	-6.92295631672648	7.24524379801838e-09	8.22999318423237e-06	10.1621975482979	TRUE
PCOLCE2	-4.46828227410722	9.27649475833705	-6.78050086651225	1.21619643887688e-08	1.18414097559505e-05	9.67161373312352	TRUE
MAPK13	1.31869715477599	4.32780827129634	6.6531887580611	1.93193283163855e-08	1.38600928568764e-05	9.23318817598157	TRUE
JPT1	1.64843171647715	4.99306698574495	6.59187255689359	2.41409600726472e-08	1.53069771741175e-05	9.02208919573976	TRUE
MYO1F	1.32016987757781	4.01047376980291	6.5619735455384	2.69107382958368e-08	1.53069771741175e-05	8.91917490424022	TRUE
CFB	1.4262887839004	5.70914813152368	6.55330943332696	2.77711019787867e-08	1.53069771741175e-05	8.88935564556432	TRUE
PTPRO	-2.14254389216237	11.2125482134906	-6.50788195279722	3.27522057294992e-08	1.59444755821001e-05	8.73303433331158	TRUE
NDNF	-4.6199292251397	9.07689767132259	-6.46383671263585	3.84311766308091e-08	1.68985602791793e-05	8.58151761119347	TRUE
CFAP45	-2.14306547674529	5.49178541684405	-6.41142232062802	4.64821719667734e-08	1.79797435035492e-05	8.40128358526745	TRUE
IGLV1-44	3.9019677802025	6.20221699877244	6.39512133839785	4.93136782904131e-08	1.79797435035492e-05	8.34524853492956	TRUE
LGALS9	1.28717410602273	3.6813642173001	6.37384646830013	5.32693950148441e-08	1.79797435035492e-05	8.27212966877811	TRUE
VEGFA	-2.42559456216549	6.88428331467583	-6.33934160212631	6.0368462569819e-08	1.82862780730934e-05	8.15357713918563	TRUE
IGLV3-25	3.81701340316774	6.26597442141842	6.32943945547927	6.25746317841427e-08	1.85424957793402e-05	8.11956384239444	TRUE
WT1	-1.79411942780402	6.01233514286704	-6.30348225486307	6.87466918034872e-08	1.91242072647619e-05	8.03042185705305	TRUE
SST	-2.78502024356379	4.44698377062699	-6.23555510245971	8.79215916756783e-08	2.26124380402108e-05	7.79729144998629	TRUE
GRIK2	-1.38528743305677	3.91687956979398	-6.19964491268313	1.00123923214066e-07	2.35362904840091e-05	7.67413785458061	TRUE
PRSS53	-1.2558455953472	4.28976811327527	-6.17445923035934	1.09674428454862e-07	2.47531202844927e-05	7.58780537478546	TRUE
IGLC2	3.72658121530923	6.49696330016966	6.17146240620276	1.10869589795727e-07	2.47531202844927e-05	7.57753511480544	TRUE
