ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0001822	kidney development	31/338	323/18860	0.0959752321981424	5.3553043764999	10.6653174920984	2.78120810483653e-14	1.0785525030556e-10	8.53684508810875e-11	PTPRO/VEGFA/WT1/FGF1/NPHS1/NPHS2/BMP7/HS3ST3A1/MAGI2/PODXL/PLCE1/SERPINF1/FOXD1/CDKN1C/CTNNBIP1/PRKX/TNS2/SULF1/TCF21/MME/FOXC1/CYP26B1/ITGA3/BMP2/COL4A4/WFS1/EFNB2/HPGD/SOX4/MPV17/ITGA8	31
GO:0072001	renal system development	31/338	334/18860	0.092814371257485	5.17893207667505	10.4092983473109	6.92214049724844e-14	1.34220304241647e-10	1.0623664047356e-10	PTPRO/VEGFA/WT1/FGF1/NPHS1/NPHS2/BMP7/HS3ST3A1/MAGI2/PODXL/PLCE1/SERPINF1/FOXD1/CDKN1C/CTNNBIP1/PRKX/TNS2/SULF1/TCF21/MME/FOXC1/CYP26B1/ITGA3/BMP2/COL4A4/WFS1/EFNB2/HPGD/SOX4/MPV17/ITGA8	31
GO:0072006	nephron development	20/338	160/18860	0.125	6.97485207100592	10.2527433415106	9.88687632550786e-12	1.27804354634398e-08	1.01158355667301e-08	PTPRO/VEGFA/WT1/FGF1/NPHS1/NPHS2/BMP7/HS3ST3A1/MAGI2/PODXL/PLCE1/FOXD1/CTNNBIP1/SULF1/TCF21/FOXC1/ITGA3/BMP2/COL4A4/MPV17	20
GO:0032835	glomerulus development	13/338	74/18860	0.175675675675676	9.8024948024948	10.248922724851	6.12081895617922e-10	5.93413397801575e-07	4.69692317795226e-07	PTPRO/WT1/NPHS1/NPHS2/BMP7/MAGI2/PODXL/PLCE1/SULF1/TCF21/FOXC1/COL4A4/MPV17	13
GO:0007015	actin filament organization	29/338	469/18860	0.0618336886993603	3.45024665346135	7.25884117971708	7.55265937225645e-09	5.8578426091221e-06	4.63653783778943e-06	MYO1F/NPHS1/CORO2B/PTGER4/NEBL/INF2/SYNPO/ITGB5/ARRB1/AIF1/LPAR1/CCN2/CDC42EP3/DPYSL3/CAPG/TJP1/PYCARD/CARMIL1/IQGAP2/MYO1B/MYL9/MYO1D/KIRREL1/MARCKS/KANK3/SEMA5A/TMOD1/CXCL12/TMSB15A	29
GO:0072073	kidney epithelium development	16/338	151/18860	0.105960264900662	5.91245738469376	8.18720608730746	1.36695778368646e-08	7.89618422849262e-06	6.24990451135542e-06	PTPRO/VEGFA/WT1/FGF1/NPHS1/NPHS2/BMP7/HS3ST3A1/MAGI2/PODXL/FOXD1/CTNNBIP1/TCF21/FOXC1/BMP2/EFNB2	16
GO:0031589	cell-substrate adhesion	25/338	369/18860	0.0677506775067751	3.78040762656147	7.28643668256429	1.42530401236329e-08	7.89618422849262e-06	6.24990451135542e-06	PTPRO/NDNF/VEGFA/SPOCK1/CORO2B/TYRO3/SPOCK2/SRGAP2/SLK/ITGB5/EPB41L5/CCN2/PRKX/CARMIL1/JAM3/FERMT1/APOD/ITGA3/KDR/PARVA/AGR2/POSTN/FGA/LIMS2/ITGA8	25
GO:0072009	nephron epithelium development	14/338	122/18860	0.114754098360656	6.40314288485789	8.08795061890454	4.03014249424815e-08	1.95361157408679e-05	1.54630204121416e-05	PTPRO/VEGFA/WT1/FGF1/NPHS1/NPHS2/HS3ST3A1/MAGI2/PODXL/FOXD1/CTNNBIP1/TCF21/FOXC1/BMP2	14
GO:0031032	actomyosin structure organization	18/338	215/18860	0.0837209302325582	4.6715288289528	7.31406337705483	6.85927455988974e-08	2.95558519369471e-05	2.33937363937292e-05	MYOZ1/TNNT2/CORO2B/PTGER4/NEBL/SYNPO/MYLK3/ITGB5/ARRB1/LPAR1/EPB41L5/CCN2/TJP1/CARMIL1/IQGAP2/MYL9/TMOD1/CSRP1	18
GO:1901342	regulation of vasculature development	24/338	375/18860	0.064	3.57112426035503	6.79364287147485	8.19667360504967e-08	3.17867002403826e-05	2.5159473928763e-05	VEGFA/F3/CLDN5/FGF1/SERPINF1/NPR1/CHI3L1/VASH1/TBXA2R/SULF1/C3/TJP1/FOXC1/ANXA3/KDR/ECM1/SEMA5A/TNMD/DCN/JCAD/CXCL12/CYP1B1/THBS2/SPARC	24
GO:0097205	renal filtration	8/338	34/18860	0.235294117647059	13.1291333101288	9.56233470907066	1.18492544905618e-07	4.17740081039989e-05	3.30645225784481e-05	PTPRO/JCHAIN/NPHS2/CORO2B/F2R/SULF1/ITGA3/KIRREL1	8
GO:0030198	extracellular matrix organization	22/338	331/18860	0.0664652567975831	3.7086826721965	6.71614209763332	1.50023149591193e-07	4.61314557081582e-05	3.65134835767187e-05	NDNF/WT1/NPHS1/TGFBR3/KLK7/OLFML2A/SPOCK2/COLGALT2/SULF1/LOX/APBB2/FOXC1/FERMT1/BMP2/COL4A4/MMP7/LUM/COL1A2/POSTN/CYP1B1/MPV17/ITGA8	22
GO:0043062	extracellular structure organization	22/338	332/18860	0.0662650602409639	3.69751194125615	6.69872095766072	1.58082615276629e-07	4.61314557081582e-05	3.65134835767187e-05	NDNF/WT1/NPHS1/TGFBR3/KLK7/OLFML2A/SPOCK2/COLGALT2/SULF1/LOX/APBB2/FOXC1/FERMT1/BMP2/COL4A4/MMP7/LUM/COL1A2/POSTN/CYP1B1/MPV17/ITGA8	22
GO:0045229	external encapsulating structure organization	22/338	333/18860	0.0660660660660661	3.68640830179292	6.68136699436892	1.6653955129299e-07	4.61314557081582e-05	3.65134835767187e-05	NDNF/WT1/NPHS1/TGFBR3/KLK7/OLFML2A/SPOCK2/COLGALT2/SULF1/LOX/APBB2/FOXC1/FERMT1/BMP2/COL4A4/MMP7/LUM/COL1A2/POSTN/CYP1B1/MPV17/ITGA8	22
GO:0045765	regulation of angiogenesis	23/338	365/18860	0.063013698630137	3.51608981113723	6.5572107762555	2.02750147595789e-07	5.24176714917646e-05	4.14890828343382e-05	VEGFA/F3/CLDN5/FGF1/SERPINF1/NPR1/CHI3L1/VASH1/TBXA2R/SULF1/C3/TJP1/FOXC1/ANXA3/KDR/ECM1/SEMA5A/TNMD/DCN/JCAD/CYP1B1/THBS2/SPARC	23
