gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	sig
ESM1	-1.89733854216932	4.33567651503032	-7.36551932280698	1.45132413413657e-09	3.9565998544831e-06	11.6839685403182	TRUE
CFAP46	-0.200809868604572	2.48776314046951	-6.93871829953235	6.84169159972915e-09	8.22999318423237e-06	10.216469206043	FALSE
MYOZ1	-2.38652892660197	4.46529324654775	-6.92295631672648	7.24524379801838e-09	8.22999318423237e-06	10.1621975482979	TRUE
EFNB1	-0.546376283641386	3.0673490007038	-6.8748530978538	8.6300591486043e-09	9.04894894266347e-06	9.99655366919335	FALSE
PCOLCE2	-4.46828227410722	9.27649475833705	-6.78050086651225	1.21619643887688e-08	1.18414097559505e-05	9.67161373312352	TRUE
MYL11	-0.29546300077007	2.56022135447478	-6.75982952096837	1.31112111932991e-08	1.1914594651724e-05	9.6004222421574	FALSE
MDFI	-0.300625324113303	2.93652680934528	-6.72941441508163	1.46441402067058e-08	1.24758921973504e-05	9.49567571605983	FALSE
NKX2-1	-0.41840862336661	3.1065469219283	-6.68451599587356	1.72402589897801e-08	1.38005427678284e-05	9.34105939799809	FALSE
DRD1	-0.13729609515246	2.73152643232688	-6.66925009392395	1.8223884514776e-08	1.38005427678284e-05	9.28849202313926	FALSE
CHAD	-0.222166618770959	2.7019281179338	-6.60964412585552	2.26314647152922e-08	1.53069771741175e-05	9.08326737890137	FALSE
ASGR1	-0.241383575463106	2.54814794706606	-6.53608401632564	2.95640226323581e-08	1.54995074039105e-05	8.83007555543185	FALSE
MELTF	-0.0848921396890927	2.53291955333776	-6.51562397748563	3.1844297415564e-08	1.59444755821001e-05	8.7596722183809	FALSE
PTPRO	-2.14254389216237	11.2125482134906	-6.50788195279722	3.27522057294992e-08	1.59444755821001e-05	8.73303433331158	TRUE
FBXO16	-0.802867663874431	6.19081658910091	-6.48946109922101	3.50176134921641e-08	1.64594858452307e-05	8.66965991294988	FALSE
NDNF	-4.6199292251397	9.07689767132259	-6.46383671263585	3.84311766308091e-08	1.68985602791793e-05	8.58151761119347	TRUE
TGM3	-0.117174205796657	2.53094192697421	-6.44803812501878	4.06991947302123e-08	1.72853570000977e-05	8.52718315020877	FALSE
CFAP45	-2.14306547674529	5.49178541684405	-6.41142232062802	4.64821719667734e-08	1.79797435035492e-05	8.40128358526745	TRUE
FLT4	-0.659234008791018	4.22561233494147	-6.40860965394202	4.69588946351816e-08	1.79797435035492e-05	8.39161432442969	FALSE
RNF19B	-0.10456391566732	2.66457354626401	-6.37705563897779	5.26530390868937e-08	1.79797435035492e-05	8.28315810570769	FALSE
ZNF550	-0.0874370237170523	2.52387767122807	-6.37655549967643	5.27486264478711e-08	1.79797435035492e-05	8.28143933303928	FALSE
