gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	sig
ST3GAL5	0.893913427376733	3.38647750575567	8.31394910894771	4.75107585552811e-11	6.47619149867036e-07	14.9114699796857	FALSE
ARF5	1.32875591015068	3.67403037114476	8.06966918747484	1.14035282077545e-10	7.7720746499951e-07	14.0864319214419	TRUE
PTPRC	2.96121924433573	4.50282098707388	7.87153601963614	2.32666994719559e-10	1.05716126834077e-06	13.4136972286024	TRUE
UNC93B1	0.912738066079914	3.17923913145533	7.51384652723137	8.47651160312425e-10	2.88858324155467e-06	12.1924576619113	FALSE
DUS2	0.647243217241559	4.35742205084582	7.25215485773025	2.19012794586833e-09	4.55203854729141e-06	11.2947067041588	FALSE
IGLJ2	4.08508717106582	6.25423780684304	7.19744289447411	2.67158010258464e-09	4.55203854729141e-06	11.106677271604	TRUE
BMS1P20	4.08508717106582	6.25423780684304	7.19744289447411	2.67158010258464e-09	4.55203854729141e-06	11.106677271604	TRUE
CAB39L	0.735397769676919	3.15064636516051	7.16069040531677	3.05319756415563e-09	4.6242373330006e-06	10.9803172966284	FALSE
MYH7B	0.147137496489255	2.53307091997255	7.07576232703426	4.15711488084456e-09	5.66656329407922e-06	10.688184115828	FALSE
MAPK13	1.31869715477599	4.32780827129634	6.6531887580611	1.93193283163855e-08	1.38600928568764e-05	9.23318817598157	TRUE
JPT1	1.64843171647715	4.99306698574495	6.59187255689359	2.41409600726472e-08	1.53069771741175e-05	9.02208919573976	TRUE
MYO1F	1.32016987757781	4.01047376980291	6.5619735455384	2.69107382958368e-08	1.53069771741175e-05	8.91917490424022	TRUE
CFB	1.4262887839004	5.70914813152368	6.55330943332696	2.77711019787867e-08	1.53069771741175e-05	8.88935564556432	TRUE
CAPN1	0.847431744841193	3.57630415188079	6.550467379656	2.80592613425232e-08	1.53069771741175e-05	8.87957448470098	FALSE
PHLDB1	0.266315720501435	2.80443219678425	6.55032442898893	2.80738338605339e-08	1.53069771741175e-05	8.87908251263212	FALSE
EDC3	0.73364737365098	4.21292959871465	6.46747365079258	3.79271797162814e-08	1.68985602791793e-05	8.59402678088973	FALSE
PDE6B	0.64775258593198	3.78585353767697	6.44037421199913	4.18470237695858e-08	1.72853570000977e-05	8.50082811514342	FALSE
IGLV1-44	3.9019677802025	6.20221699877244	6.39512133839785	4.93136782904131e-08	1.79797435035492e-05	8.34524853492956	TRUE
LGALS9	1.28717410602273	3.6813642173001	6.37384646830013	5.32693950148441e-08	1.79797435035492e-05	8.27212966877811	TRUE
RTL10	0.419666309218428	4.53232515952133	6.36027479046598	5.59565147808117e-08	1.79797435035492e-05	8.22549433778762	FALSE
